"","time","house_rate","sp_rate"
"58","2001/1",-0.000198767640628106,-0.0789270929478415
"59","2001/2",0.0047713717693837,0.00396622896945823
"60","2001/3",0.00435298773248912,0.0396258567298172
"61","2001/4",-0.00275807722616233,-0.0100108398785797
"62","2001/5",-0.000197550375345713,-0.0179783754862271
"63","2001/6",0.00513732463939933,-0.0372802088836895
"64","2001/7",0.00727344210733242,-0.072624239766954
"65","2001/8",0.00761124121779859,-0.0339384924009274
"66","2001/9",0.00387371683129963,0.0468934514865396
"67","2001/10",-0.00366583060003859,0.0401503834537578
"68","2001/11",-0.00445391169635941,-0.004043662979747
"69","2001/12",0.00194514685858782,-0.0181496469652181
