"","time","house_rate","sp_rate"
"1","1996/4",0.00193274062620796,0.0124387112980916
"2","1996/5",0.000771604938271605,-0.0217727061018847
"3","1996/6",0.0023130300693909,-0.0142227218164581
"4","1996/7",0.00423076923076923,0.0366735335438588
"5","1996/8",0.00306396016851781,0.039781403788139
"6","1996/9",0.00152730049637266,0.0500430857018568
"7","1996/10",0.00457491422035837,0.0242564532546497
"8","1996/11",0.00759013282732448,0.0194556890325841
"9","1996/12",0.00903954802259887,0.0327984925100165
"10","1997/1",0.0115714818962299,-0.0184149313043277
"11","1997/2",0.0107011070110701,0.00679614196054605
"12","1997/3",0.0113179992698065,0.0584936621492624
"13","1997/4",0.0101083032490975,0.0507995690857435
"14","1997/5",0.00964974982130093,0.0611680760050101
"15","1997/6",0.0106194690265487,0.00779034814685124
"16","1997/7",0.0119089316987741,-0.00379223484855766
"17","1997/8",0.00865351332641052,0.00820361391633953
"18","1997/9",0.00823610157858614,0.00436113373185069
"19","1997/10",0.0108917631041525,0.0298445992197691
"20","1997/11",0.0121212121212121,0.0129191074915102
"21","1997/12",0.0133067198935462,0.0404519237149847
"22","1998/1",0.0141168745896257,0.0598486274766918
"23","1998/2",0.0142440919391389,0.0290132142246253
"24","1998/3",0.012448132780083,-0.00493790557939911
"25","1998/4",0.0104035308953342,0.0100291779791678
"26","1998/5",0.00873634945397816,0.0134178252770169
"27","1998/6",0.0117537890504176,-0.0783141064873782
"28","1998/7",0.0128401100580862,-0.0498857192705996
"29","1998/8",0.0105644431029279,0.0716156249623868
"30","1998/9",0.00925925925925926,0.0693015915723144
"31","1998/10",0.0100621485646641,0.0577111493489607
"32","1998/11",0.0102549077058306,0.048481737639154
"33","1998/12",0.00928074245939675,0.00362712138059588
"34","1999/1",0.00574712643678161,0.00267278008773365
"35","1999/2",0.00342857142857143,0.0383610329463661
"36","1999/3",0.00541002277904328,0.00590107787791466
"37","1999/4",0.010761823845936,0.014231938595597
"38","1999/5",0.0148500980666853,0.0100502909774247
"39","1999/6",0.0162893429044727,-0.0193600901435485
"40","1999/7",0.0171149144254279,-0.0173679698290232
"41","1999/8",0.0205662393162393,0.0163342527742368
"42","1999/9",0.023292331850301,0.0401415432174736
"43","1999/10",0.0255754475703325,0.0386359463486383
"44","1999/11",0.0269326683291771,0.00194178315209065
"45","1999/12",0.0279261777561923,-0.0359079506655388
"46","2000/1",0.0259862981337113,0.0377126114903353
"47","2000/2",0.0253281142067695,0.0300209458987783
"48","2000/3",0.0249270154951718,-0.0264248442857705
"49","2000/4",0.0249780893952673,0.000755272996572209
"50","2000/5",0.0200940572894399,0.00355800645895394
"51","2000/6",0.0123637887678122,0.0218615871764652
"52","2000/7",0.00745187331815359,0.00192641503021383
"53","2000/8",0.00965687281693035,-0.0298829892753982
"54","2000/9",0.00997150997150997,-0.0424158670571862
"55","2000/10",0.0078581503123111,-0.0397616907442718
"56","2000/11",0.00559776089564174,0.0193759403875634
"57","2000/12",0.000198807157057654,-0.0299074511067715
"58","2001/1",-0.000198767640628106,-0.0789270929478415
"59","2001/2",0.0047713717693837,0.00396622896945823
"60","2001/3",0.00435298773248912,0.0396258567298172
"61","2001/4",-0.00275807722616233,-0.0100108398785797
"62","2001/5",-0.000197550375345713,-0.0179783754862271
"63","2001/6",0.00513732463939933,-0.0372802088836895
"64","2001/7",0.00727344210733242,-0.072624239766954
"65","2001/8",0.00761124121779859,-0.0339384924009274
"66","2001/9",0.00387371683129963,0.0468934514865396
"67","2001/10",-0.00366583060003859,0.0401503834537578
"68","2001/11",-0.00445391169635941,-0.004043662979747
"69","2001/12",0.00194514685858782,-0.0181496469652181
"70","2002/1",0.0034944670937682,0.00768466806303371
"71","2002/2",0.000193461017604953,-0.0132246446800185
"72","2002/3",0.00444874274661509,-0.0360786031944119
"73","2002/4",0.0157904871943,-0.0406238792772548
"74","2002/5",0.0199052132701422,-0.0756067295118291
"75","2002/6",0.0171003717472119,-0.0387863934294152
"76","2002/7",0.0138888888888889,-0.0527113273556114
"77","2002/8",0.00991348233597693,-0.01750656792085
"78","2002/9",0.00571122612885954,0.0711505703717301
"79","2002/10",0.00514640638864241,-0.00326003006136959
"80","2002/11",0.0033545197740113,-0.0443855813064439
"81","2002/12",0.000527890198838642,-0.0222814963680347
"82","2003/1",0,-0.00443175227065266
"83","2003/2",-0.000703482237073514,0.0448520764075194
"84","2003/3",-0.000527983104540655,0.0653844176359561
"85","2003/4",0.00246522275048424,0.0306193621378277
"86","2003/5",0.00649920955559459,0.0137867542930192
"87","2003/6",0.00767888307155323,0.0170550893135266
"88","2003/7",0.00796674748874264,0.00283236567583826
"89","2003/8",0.00601374570446735,0.0213075736308965
"90","2003/9",0.00905209222886422,0.0304053306171764
"91","2003/10",0.0167569397427217,0.029024512925709
"92","2003/11",0.0218078907940736,0.0336064614712699
"93","2003/12",0.0195503421309873,0.0147209809316208
"94","2004/1",0.019335250878875,-0.00216164007114391
"95","2004/2",0.0208496629565763,-0.0165730548947271
"96","2004/3",0.0191953316953317,-0.00247588189676396
"97","2004/4",0.0108482748229622,0.0150539571492753
"98","2004/5",0.00313012371441347,-0.00838377853493419
"99","2004/6",0.00237741456166419,-0.0163206233180826
"100","2004/7",0.00489178772605989,0.00582965476588723
"101","2004/8",0.0085558341938339,0.0116998952739719
"102","2004/9",0.0130174052947199,0.0263901105918087
"103","2004/10",0.0142939647704303,0.0354684840640506
"104","2004/11",0.0136654804270463,0.00312275186366803
"105","2004/12",0.0167111360763938,-0.00347655964528524
