"Year","interest_rate"
1996,0.0780583333333333
1997,0.0759583333333333
1998,0.0694416666666667
1999,0.0742916666666667
2000,0.0806333333333333
2001,0.069725
2002,0.065375
2003,0.0581916666666667
2004,0.0584166666666667
2005,0.0586583333333333
2006,0.0641083333333333
2007,0.063425
2008,0.0604166666666667
2009,0.050425
2010,0.0469166666666667
2011,0.044575
2012,0.0365666666666667
2013,0.0398333333333333
